Address1,Address2,propertyID,listingID,propertyType,price,leasePrice,buildingType,neighbourhood,bathrooms,bedrooms,communityFeatures,nearbyAmenities,storeys,walkscore,transitscore,machineryIncluded,rentalEquipment,parkingType,majorBusinessType,minorBusinessType,totalUnits,landSize,zoningType,interiorFloorSpace,exteriorBuildingSize,franchise,buildingAmenities,buildingStyle,basementDevelopment,notificationUpdate,anchor,retailStorefront,clearCeilingHeight,hasphoto,photos,multimediaFeatures,listingVideoType,city,province,soldData,hasAlternateFeatureSheet,hasOpenHouse,hasVirtualOpenHouse,hasCMHCFTHBBanner,hasTDpreApprovalIcon,hasActiveVirtualOpenHouse,Property Type,Building Type,Community Name,Title,Annual Property Taxes,Parking Type,Time on REALTOR.ca,Above Grade,Total,Features,Building Amenities,Cooling,Heating Type,Exterior Finish,Pool Type,Community Features,Amenities Nearby,Maintenance Fees,Maintenance Management Company,Total Parking Spaces,rooms_info
#305 -2212 LAKE SHORE BLVD W,"Toronto, Ontario M8V0C2",23762391,W5411118,SingleFamily,599000.00,,Apartment,,1,1,,"Marina,Park",,,,,,Underground,,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,18,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Mimico,Condominium/Strata,"$1,686.06 (CAD)",Underground,30 days,1,1,Balcony,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,Indoor pool,,"Marina, Park",$415.40 (CAD) Monthly,First Service Residential,1,"{'Flat': {'Living room': 'Measurements not available', 'Dining room': 'Measurements not available', 'Kitchen': 'Measurements not available', 'Bedroom': 'Measurements not available'}}"
#609 -375 KING ST W,"Toronto, Ontario M5V1K1",23836093,C5435706,SingleFamily,634900.00,,Apartment,,1,2,,"Park,PublicTransit,Schools",,,,,,VisitorParking,,,,,,,,,"Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,36,Video,Matterport,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Waterfront Communities C1,Condominium/Strata,"$2,356.56 (CAD)",Visitor Parking,4 days,1,1,,"Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,,,"Park, Public Transit, Schools",$418.34 (CAD) Monthly,Icon Property Management 416-979-0009,,"{'Flat': {'Living room': '3.85 m x 3.32 m', 'Dining room': '2.66 m x 3.32 m', 'Kitchen': '4.52 m x 2.66 m', 'Primary Bedroom': '3.05 m x 2.91 m', 'Study': '2 m x 0.75 m', 'Foyer': '1.81 m x 0.98 m'}}"
#LPH02 -736 SPADINA AVE,"Toronto, Ontario M5S2J6",23776314,C5415717,SingleFamily,2880000.00,,Apartment,,3,4,,"PublicTransit,Schools",,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,37,"Video,Brochure",,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,University,Condominium/Strata,"$13,405.60 (CAD)","Underground, Visitor Parking",25 days,3,3,Balcony,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,,,"Public Transit, Schools","$2,662.66 (CAD) Monthly",T.S.E. Management Services Inc.,4,"{'Flat': {'Living room': '9.28 m x 7.96 m', 'Dining room': '6.54 m x 4.57 m', 'Kitchen': '5.98 m x 4.86 m', 'Eating area': '5.98 m x 4.86 m', 'Bedroom': '5.65 m x 4.3 m', 'Bedroom 2': '4.8 m x 3.9 m', 'Bedroom 3': '4.17 m x 3.87 m', 'Laundry room': '2.74 m x 1.75 m'}}"
#3809 -38 WIDMER ST,"Toronto, Ontario M5V2E9",23801711,C5424279,SingleFamily,820300.00,,Apartment,,1,1,CommunityCentre,"Park,PublicTransit,Schools",,,,,,"Underground,VisitorParking",,,,,,,,,"Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,24,no,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Waterfront Communities C1,Condominium/Strata,$0 (CAD),"Underground, Visitor Parking",17 days,1,1,Balcony,"Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,"Indoor pool, Outdoor pool",Community Centre,"Park, Public Transit, Schools",$295.09 (CAD) Monthly,Tbd,,"{'Flat': {'Living room': 'Measurements not available', 'Dining room': 'Measurements not available', 'Kitchen': 'Measurements not available', 'Bedroom': 'Measurements not available'}}"
#309 -700 KING ST W,"Toronto, Ontario M5V2Y6",23803750,C5424816,SingleFamily,869900.00,,Apartment,,2,2,,"Hospital,Park,PublicTransit,Schools",,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,ExerciseCentre,RecreationCentre",,,no,,,,yes,25,no,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Niagara,Condominium/Strata,"$3,466.28 (CAD)","Underground, Visitor Parking",16 days,2,2,,"Storage - Locker, Security/Concierge, Exercise Centre, Recreation Centre",Central air conditioning,Forced air (Natural gas),Stucco,,,"Hospital, Park, Public Transit, Schools",$802.33 (CAD) Monthly,Crossbridge Condominium Services,1,"{'Main level': {'Living room': '3.8 m x 4.73 m', 'Dining room': 'Measurements not available', 'Kitchen': '2.65 m x 2.74 m', 'Primary Bedroom': '4.18 m x 2.8 m', 'Bedroom 2': '2.56 m x 2.87 m'}}"
#306 -1888 QUEEN ST E,"Toronto, Ontario M4L1H3",23830331,E5433704,SingleFamily,1272990.00,,Apartment,,2,3,,,,,,,,Underground,,,,,,,,,Storage-Locker,,,no,,,,yes,14,Video,Matterport,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,The Beaches,Condominium/Strata,$0 (CAD),Underground,5 days,2,2,Balcony,Storage - Locker,Central air conditioning,Forced air (Natural gas),Brick,,,,$731.60 (CAD) Monthly,First Service Residential,1,{}
#403 -458 RICHMOND ST W,"Toronto, Ontario M5V0S9",23754281,C5408569,SingleFamily,619900.00,,Apartment,,1,1,,"PublicTransit,Schools",,,,,,,,,,,,,,,"PartyRoom,ExerciseCentre",,,no,,,,yes,9,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Waterfront Communities C1,Condominium/Strata,$0 (CAD),,32 days,1,1,,"Party Room, Exercise Centre",Central air conditioning,Heat Pump (Natural gas),Brick,,,"Public Transit, Schools",$383.25 (CAD) Monthly,Icon Property Management,,"{'Main level': {'Living room': '2.54 m x 5.89 m', 'Dining room': '2.54 m x 5.89 m', 'Kitchen': '2.54 m x 5.89 m', 'Bedroom': '3.4 m x 2.48 m'}}"
#35 -275 BROADVIEW AVE,"Toronto, Ontario M4M3H5",23799296,E5423300,SingleFamily,920000.00,,Row/Townhouse,,2,4,,"Park,PublicTransit,Schools",3,,,,,,,,,,,,,,,,,no,,,,yes,18,Video,Youtube,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Row / Townhouse,South Riverdale,Condominium/Strata,"$2,688.46 (CAD)",,17 days,4,2,"Cul-de-sac, Wooded area, Balcony",,Central air conditioning,Forced air (Natural gas),Brick,,,"Park, Public Transit, Schools",$310 (CAD) Monthly,Shiu Pong Property Management Inc,1,"{'Main level': {'Living room': '3.5 m x 3.37 m', 'Dining room': '2.47 m x 2.65 m', 'Kitchen': '2.2 m x 2.5 m'}, 'Second level': {'Primary Bedroom': '3.95 m x 3.4 m', 'Bedroom 2': '2.5 m x 2.84 m', 'Bathroom': 'Measurements not available'}, 'Third level': {'Bedroom 3': '2.95 m x 3.35 m'}, 'Basement': {'Bedroom 4': '3.23 m x 3.65 m', 'Bathroom': 'Measurements not available', 'Living room': 'Measurements not available', 'Laundry room': 'Measurements not available'}}"
#729 -38 CAMERON  ST,"Toronto, Ontario M2N1H1",23806927,C5425977,SingleFamily,769000.00,,Apartment,,1,2,,"Hospital,Park,PublicTransit,Schools",,,,,,Underground,,,,,,,,,"Storage-Locker,PartyRoom,ExerciseCentre",,,no,,,,yes,13,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Kensington-Chinatown,Condominium/Strata,"$2,719 (CAD)",Underground,14 days,1,1,Balcony,"Storage - Locker, Party Room, Exercise Centre",Central air conditioning,Forced air,Concrete,,,"Hospital, Park, Public Transit, Schools",$561.25 (CAD) Monthly,Del Properties Management,1,"{'Flat': {'Living room': '4.4 m x 3.05 m', 'Dining room': '3.1 m x 2.84 m', 'Den': '1.7 m x 2.99 m', 'Primary Bedroom': '3.1 m x 3.25 m', 'Kitchen': '3.1 m x 2.84 m'}}"
#3802 -70 DISTILLERY LANE,"Toronto, Ontario M5A0E3",23806098,C5425729,SingleFamily,1189000.00,,Apartment,,2,2,CommunityCentre,"Park,PublicTransit,Schools",,,,,,Underground,,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre,RecreationCentre",,,no,,,,yes,39,Video,Youtube,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Waterfront Communities C8,Condominium/Strata,"$3,323.91 (CAD)",Underground,14 days,2,2,Balcony,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre, Recreation Centre",Central air conditioning,Forced air (Natural gas),Concrete,Outdoor pool,Community Centre,"Park, Public Transit, Schools",$711.01 (CAD) Monthly,Icon Property Management   647-361-8610,1,"{'Flat': {'Living room': '8.55 m x 3.12 m', 'Dining room': '8.55 m x 3.37 m', 'Kitchen': '8.55 m x 3.37 m', 'Primary Bedroom': '3.2 m x 3.36 m', 'Bedroom 2': '2.84 m x 2.75 m'}}"
#707 -219 DUNDAS ST E,"Toronto, Ontario M5A1Z7",23808069,C5426283,SingleFamily,1035990.00,,Apartment,,2,3,,,,,,,,Underground,,,,,,,,,Storage-Locker,,,no,,,,yes,12,no,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Moss Park,Condominium/Strata,$0 (CAD),Underground,13 days,3,2,Balcony,Storage - Locker,Central air conditioning,,Brick,,,,$617.23 (CAD) Monthly,Menres Property Management,1,"{'Main level': {'Living room': '7.1 m x 6.2 m', 'Dining room': '7.1 m x 6.2 m', 'Kitchen': '7.1 m x 6.2 m', 'Bedroom': '3.07 m x 2.92 m', 'Bedroom 2': '3.18 m x 2.59 m', 'Bedroom 3': '3.05 m x 2.59 m'}}"
#3008 -15 ICEBOAT TERR,"Toronto, Ontario M5V4A5",23841470,C5437716,SingleFamily,749000.00,,Apartment,,1,2,,"Park,PublicTransit,Schools",,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,ExerciseCentre,RecreationCentre",,Apartmentinbasement,no,,,,yes,27,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Waterfront Communities C1,Condominium/Strata,"$2,468.50 (CAD)","Underground, Visitor Parking",2 days,1,1,Balcony,"Storage - Locker, Security/Concierge, Exercise Centre, Recreation Centre",Central air conditioning,Forced air (Natural gas),Concrete,Indoor pool,,"Park, Public Transit, Schools",$538.29 (CAD) Monthly,Elite Property Management,1,"{'Main level': {'Living room': 'Measurements not available', 'Kitchen': 'Measurements not available', 'Primary Bedroom': 'Measurements not available', 'Bathroom': 'Measurements not available', 'Den': 'Measurements not available'}}"
#441 -43 HANNA AVE,"Toronto, Ontario M6K1X1",23793738,C5421517,SingleFamily,2999990.00,,Apartment,,4,4,,"Hospital,Marina,PublicTransit",,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,ExerciseCentre",,,no,,,,yes,40,Video,Matterport,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Niagara,Condominium/Strata,"$5,046 (CAD)","Underground, Visitor Parking",19 days,3,4,,"Storage - Locker, Security/Concierge, Exercise Centre",Central air conditioning,Forced air (Natural gas),Brick,,,"Hospital, Marina, Public Transit",$729 (CAD) Monthly,Icon Property Management,1,"{'Main level': {'Kitchen': '4.72 m x 4.95 m', 'Dining room': '4.72 m x 3.35 m', 'Living room': '4.72 m x 5.41 m', 'Bedroom 2': '3.28 m x 3.43 m'}, 'Second level': {'Primary Bedroom': '3.79 m x 5.59 m', 'Media': '4.72 m x 3.58 m', 'Bedroom 3': '4.72 m x 4.52 m'}}"
#410 -101 PRUDENTIAL DR,"Toronto, Ontario M1P4S5",23774595,E5415041,SingleFamily,430000.00,,Apartment,,1,1,,"Park,PublicTransit",,,,,,"Underground,VisitorParking",,,,,,,,,ExerciseCentre,,,no,,,,yes,24,Video,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Dorset Park,Condominium/Strata,$818.76 (CAD),"Underground, Visitor Parking",25 days,1,1,Balcony,Exercise Centre,,Radiant heat (Natural gas),"Brick, Concrete",Outdoor pool,,"Park, Public Transit",$509 (CAD) Monthly,General Property Management,1,"{'Main level': {'Living room': '6.1 m x 3.45 m'}, 'Flat': {'Dining room': '2.95 m x 2.82 m', 'Kitchen': '3.58 m x 2.82 m', 'Bedroom': '4.62 m x 3.33 m'}}"
#1008 -76 SHUTER ST,"Toronto, Ontario M5B1B4",23754290,C5408598,SingleFamily,682500.00,,Apartment,,1,2,,"Hospital,Park,PublicTransit,Schools",,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,PartyRoom,Sauna,Security/Concierge,ExerciseCentre",,,no,,,,yes,40,Video,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Church-Yonge Corridor,Condominium/Strata,"$2,352.40 (CAD)","Underground, Visitor Parking",32 days,1,1,Balcony,"Storage - Locker, Party Room, Sauna, Security/Concierge, Exercise Centre",Central air conditioning,Forced air (Natural gas),"Brick, Concrete",,,"Hospital, Park, Public Transit, Schools",$754.58 (CAD) Monthly,Shelter Canadian Properties Ltd.  416-703-5592,1,"{'Main level': {'Living room': '3.35 m x 3.96 m', 'Dining room': '3.05 m x 2.44 m', 'Kitchen': '2.74 m x 2.44 m', 'Primary Bedroom': '3.05 m x 2.74 m', 'Den': '3.05 m x 2.13 m'}}"
#907 -2121 LAKE SHORE BLVD W,"Toronto, Ontario M8V4E9",23831335,W5434115,SingleFamily,749000.00,,Apartment,,2,2,,,,,,,,"Underground,VisitorParking",,,,,,,,,"Security/Concierge,ExerciseCentre",,,no,,,,yes,37,Video,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Mimico,Condominium/Strata,"$2,138.55 (CAD)","Underground, Visitor Parking",5 days,1,2,Balcony,"Security/Concierge, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,Indoor pool,,,$747.72 (CAD) Monthly,Duka 416-255-8731,1,"{'Flat': {'Living room': '7.33 m x 3.03 m', 'Dining room': '7.33 m x 3.03 m', 'Kitchen': '3.52 m x 2.89 m', 'Bedroom': '5.21 m x 2.76 m', 'Den': '4.42 m x 2.75 m'}}"
#1221 -8 TRENT AVE,"Toronto, Ontario M4C5C6",23749058,E5406641,SingleFamily,645500.00,,Apartment,,2,2,,"PublicTransit,Schools",,,,,,"Underground,VisitorParking",,,,,,,,,"PartyRoom,ExerciseCentre",,,no,,,,yes,28,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,East End-Danforth,Condominium/Strata,"$3,116.16 (CAD)","Underground, Visitor Parking",34 days,2,2,"Ravine, Balcony","Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,,,"Public Transit, Schools",$457.93 (CAD) Monthly,Del Property Management,1,"{'Flat': {'Living room': '6.63 m x 2.65 m', 'Dining room': '6.63 m x 2.65 m', 'Kitchen': '3.3 m x 2.48 m', 'Primary Bedroom': '3 m x 2.95 m', 'Bedroom 2': '2.7 m x 2.4 m'}}"
